# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = lr_model_model
# start_datetime = 2025-03-13 21:14:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/yg/6cnm4nrd727_h_wts71sw3j40000gn/T/Rtmpj1WxrP/standata-7001327db8bd.json
# init = 2 (Default)
# random
#   seed = 156914137
# output
#   file = /Users/Juan/git/Bayesian_Modeling/Lectures/Code-20250312/stan_intro_outputs/lr_model-1.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = -1 (Default)
#   profile_file = /Users/Juan/git/Bayesian_Modeling/Lectures/Code-20250312/stan_intro_outputs/lr_model-profile-1.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=lr_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
# Adaptation terminated
# Step size = 0.123885
# Diagonal elements of inverse mass matrix:
# 2.4809e-05, 3.12687e-05, 4.67708e-05
40957.4,0.936795,0.123885,2,3,0,-40956.6,0.00882948,0.856226,0.0932139
40957.7,1,0.123885,3,15,0,-40957.4,0.00884468,0.857426,0.0934139
40957.3,0.973673,0.123885,4,15,0,-40956.1,0.00842389,0.85997,0.0935663
40955.9,0.998318,0.123885,4,15,0,-40955.3,0.00864679,0.859722,0.094172
40956,0.999996,0.123885,4,31,0,-40955.2,0.00886705,0.856123,0.0925903
40957.4,0.993469,0.123885,4,31,0,-40955,0.00906944,0.856718,0.0936269
40957,0.955095,0.123885,4,15,0,-40954.3,0.00907233,0.859835,0.0929297
40956.7,0.904152,0.123885,3,7,0,-40955.8,0.00909747,0.860843,0.0929574
40956,0.876059,0.123885,3,15,0,-40954.6,0.00986109,0.858465,0.0937588
40954.9,0.984667,0.123885,4,31,0,-40954,0.00801176,0.853887,0.093028
40956.8,0.998714,0.123885,2,7,0,-40954.3,0.00950325,0.856281,0.0930115
40956,0.989417,0.123885,4,15,0,-40954.9,0.00847458,0.862644,0.0937666
40953.6,0.60808,0.123885,2,3,0,-40952.8,0.00724029,0.862478,0.0938372
40953.6,1,0.123885,2,3,0,-40953,0.00990052,0.862749,0.0938852
40955.5,0.909188,0.123885,2,3,0,-40952.7,0.00832786,0.862959,0.0938803
40957.3,0.987732,0.123885,3,7,0,-40955.2,0.00896989,0.860226,0.0934822
40956.5,0.929891,0.123885,4,15,0,-40955.7,0.00958323,0.856015,0.0937798
40957.6,0.976605,0.123885,3,11,0,-40955.5,0.00884426,0.859365,0.0934384
40956.3,0.872579,0.123885,3,13,0,-40954,0.00791828,0.860793,0.0931249
40956.8,0.989195,0.123885,3,15,0,-40954.7,0.00963464,0.858685,0.0934976
40955.9,0.923011,0.123885,3,15,0,-40953.7,0.00997931,0.858395,0.0936606
40956.3,0.993304,0.123885,2,7,0,-40954.7,0.00804109,0.859463,0.0938502
40955.8,1,0.123885,3,7,0,-40955.5,0.00812427,0.859138,0.0940685
40955.3,0.753975,0.123885,4,15,0,-40951.9,0.0101528,0.859101,0.0931897
40956.7,1,0.123885,2,7,0,-40952.8,0.00846127,0.8601,0.092858
40957.2,0.899431,0.123885,4,15,0,-40955.2,0.00838577,0.858423,0.0936819
40957.1,0.89871,0.123885,2,7,0,-40955.7,0.00943416,0.858505,0.0935952
40956.7,0.899736,0.123885,1,1,0,-40956.6,0.00968666,0.858368,0.0936021
40957.5,0.992691,0.123885,2,3,0,-40956.5,0.0089091,0.858608,0.093642
40957.6,0.998211,0.123885,4,15,0,-40957.1,0.009028,0.856764,0.0934166
40957.1,0.979633,0.123885,3,15,0,-40956.4,0.0084521,0.859475,0.0937302
40955,0.7223,0.123885,2,7,0,-40953.2,0.00760065,0.8592,0.0939673
40956.4,0.986164,0.123885,2,7,0,-40954.4,0.00861841,0.859345,0.0940494
