# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = lr_model_punitive_model
# start_datetime = 2025-03-13 21:35:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = true
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/yg/6cnm4nrd727_h_wts71sw3j40000gn/T/Rtmpj1WxrP/standata-700158b1c6c4.json
# init = 2 (Default)
# random
#   seed = 1457
# output
#   file = /Users/Juan/git/Bayesian_Modeling/Assignments/HW1/lr_model_sampling_outputs/lr_model_punitive_run-2.csv
#   diagnostic_file =  (Default)
#   refresh = 50
#   sig_figs = -1 (Default)
#   profile_file = /Users/Juan/git/Bayesian_Modeling/Assignments/HW1/lr_model_sampling_outputs/lr_model_punitive-profile-2.csv
#   save_cmdstan_config = true
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --name=lr_model_punitive_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,sigma
# Adaptation terminated
# Step size = 0.152048
# Diagonal elements of inverse mass matrix:
# 0.00390571, 0.0054654, 0.00121953, 8.78946e-05, 0.000891193
293.566,0.981103,0.152048,4,15,0,-291.412,0.257559,0.401391,-0.0459339,0.033817,0.374618
297.911,0.964904,0.152048,4,15,0,-292.484,0.196198,0.277674,0.00489182,0.0524924,0.353127
297.457,0.998416,0.152048,4,15,0,-296.507,0.223973,0.362554,-0.0334634,0.0447994,0.360591
293.652,0.693994,0.152048,2,7,0,-292.707,0.239705,0.389799,-0.0315123,0.0463118,0.36506
296.759,1,0.152048,2,3,0,-293.937,0.21401,0.364137,-0.0357542,0.043884,0.362589
296.287,0.941732,0.152048,4,31,0,-292.906,0.11602,0.336037,0.0232665,0.0580834,0.360471
296.439,0.997192,0.152048,5,31,0,-294.05,0.254462,0.220294,0.0131376,0.0428857,0.346072
296.609,0.998982,0.152048,4,31,0,-292.937,0.23555,0.265357,0.0441841,0.0457666,0.352652
296.826,0.760639,0.152048,2,3,0,-293.017,0.220462,0.249958,0.0402904,0.0425955,0.351299
296.548,0.974498,0.152048,4,23,0,-294.682,0.109793,0.474932,-0.0106283,0.0546086,0.347025
294.946,0.695554,0.152048,5,31,0,-291.126,0.208478,0.291498,0.0396814,0.0380467,0.367611
295.793,0.994393,0.152048,5,31,0,-293.366,0.204706,0.320456,-0.0597067,0.0551441,0.348629
296.189,0.975154,0.152048,5,31,0,-294.184,0.21019,0.325335,0.0568443,0.0417386,0.346605
297.863,1,0.152048,4,31,0,-294.3,0.129824,0.393164,0.0535702,0.0463698,0.346346
298.125,0.951664,0.152048,5,31,0,-296.911,0.235222,0.292779,-0.0214348,0.0516346,0.349133
297.491,0.98846,0.152048,4,15,0,-295.048,0.16894,0.282963,0.0505167,0.0543508,0.343708
297.824,0.999445,0.152048,4,31,0,-296.397,0.181011,0.304665,-0.00515586,0.0565293,0.339461
292.434,0.835874,0.152048,4,15,0,-289.813,0.245141,0.185361,0.00759917,0.0538062,0.321389
293.381,0.906791,0.152048,4,15,0,-290.43,0.217193,0.25033,-0.0098591,0.0516867,0.323024
295.251,0.959112,0.152048,2,3,0,-292.926,0.223402,0.258745,-0.00202318,0.0520439,0.324226
296.336,0.999596,0.152048,5,31,0,-294.339,0.204688,0.317542,-0.0167418,0.0509453,0.327249
295.441,0.771472,0.152048,5,31,0,-290.946,0.155975,0.483042,0.000364356,0.0352247,0.341732
296.32,0.993601,0.152048,4,31,0,-294.933,0.146702,0.485692,-0.00400115,0.0408041,0.342015
295.385,0.908505,0.152048,5,31,0,-292.915,0.275427,0.170392,-0.0208548,0.0521505,0.354339
295.613,0.998001,0.152048,4,31,0,-293.003,0.242444,0.415684,-0.0542147,0.0414094,0.346605
296.109,0.99997,0.152048,5,31,0,-293.251,0.248991,0.206667,0.0347885,0.0516237,0.353809
298.433,1,0.152048,4,15,0,-295.691,0.227871,0.320934,0.0136925,0.0416225,0.348236
296.728,0.88546,0.152048,4,31,0,-295.944,0.172473,0.273477,0.0163194,0.0552394,0.338244
297.277,1,0.152048,5,31,0,-295.177,0.23167,0.367361,-0.0117733,0.0367037,0.358842
296.199,0.916981,0.152048,2,7,0,-295.487,0.25413,0.381313,-0.0175296,0.0349377,0.360693
297.016,0.921161,0.152048,4,15,0,-294.019,0.233206,0.350625,0.0191858,0.0391279,0.35357
297.074,0.984387,0.152048,4,31,0,-294.508,0.133181,0.423207,0.0481898,0.046741,0.350372
296.667,0.99507,0.152048,5,31,0,-295.655,0.140193,0.366161,0.0339322,0.0559277,0.335166
294.338,0.998416,0.152048,5,31,0,-292.944,0.31179,0.302089,0.00409955,0.0295318,0.363495
296.403,0.997491,0.152048,4,15,0,-293.572,0.270614,0.326505,0.0142058,0.0306424,0.354478
296.283,0.81752,0.152048,4,31,0,-292.162,0.135488,0.375361,0.0522373,0.0414455,0.351288
297.15,0.994679,0.152048,5,31,0,-294.993,0.19613,0.390207,-0.0170514,0.0501431,0.348223
297.913,1,0.152048,3,15,0,-295.639,0.1799,0.323673,0.00580285,0.0486174,0.342752
297.542,0.864542,0.152048,2,3,0,-295.871,0.174373,0.331216,0.00118445,0.0491123,0.341241
297.763,0.998433,0.152048,5,31,0,-296.147,0.151204,0.367071,0.0179923,0.0479698,0.3586
296.409,0.986478,0.152048,4,15,0,-295.622,0.169006,0.391467,-0.0172006,0.0545326,0.33277
297.384,0.927283,0.152048,4,31,0,-293.481,0.112725,0.339829,0.0395837,0.0599154,0.343175
298.254,0.983518,0.152048,4,15,0,-296.938,0.138025,0.393732,0.0279046,0.048055,0.342315
298.045,0.997293,0.152048,4,31,0,-297.462,0.163212,0.307329,0.0233382,0.0576148,0.346245
296.424,0.872033,0.152048,5,31,0,-294.73,0.131063,0.292532,0.0556061,0.0550387,0.343252
294.794,0.930851,0.152048,4,31,0,-293.278,0.215658,0.23695,0.0425295,0.0567952,0.341553
294.576,0.980864,0.152048,5,31,0,-290.396,0.265971,0.244374,-0.0449392,0.0579111,0.333982
296.974,0.994729,0.152048,5,31,0,-291.37,0.20077,0.372662,0.00644211,0.0365944,0.355949
296.675,0.999439,0.152048,5,31,0,-294.939,0.115214,0.330446,0.0531109,0.061436,0.344208
297.551,0.873209,0.152048,5,31,0,-294.595,0.234412,0.381995,-0.0226391,0.0384488,0.352668
294.97,0.643085,0.152048,2,7,0,-291.768,0.252797,0.376562,-0.0123404,0.0406484,0.352634
296.459,0.996898,0.152048,3,15,0,-291.825,0.1982,0.309082,-0.0154569,0.0472648,0.350606
298.699,0.999114,0.152048,4,31,0,-293.69,0.203388,0.319829,0.0147302,0.0480433,0.349151
297.41,0.87041,0.152048,3,15,0,-293.844,0.236743,0.320326,0.0151327,0.0394433,0.361742
297.884,0.994848,0.152048,5,31,0,-294.097,0.229376,0.302851,-0.034229,0.0506808,0.342491
298.167,0.984088,0.152048,5,31,0,-295.976,0.199028,0.339338,0.0257805,0.0422336,0.356983
297.258,0.779936,0.152048,4,23,0,-294.324,0.164782,0.413672,0.00232354,0.0504777,0.349068
296.823,0.99771,0.152048,3,15,0,-293.077,0.108026,0.373183,0.0236774,0.0543635,0.354695
296.05,0.99768,0.152048,5,31,0,-294.396,0.235599,0.365155,-0.0298851,0.0376054,0.333393
296.875,1,0.152048,4,15,0,-295.032,0.242208,0.34403,-0.00686003,0.041062,0.333612
297.277,0.9845,0.152048,4,31,0,-292.476,0.225082,0.343465,0.0162157,0.0349722,0.355508
298.155,0.870763,0.152048,4,23,0,-294.243,0.24445,0.295544,0.0113463,0.0403241,0.352553
296.862,0.890048,0.152048,5,31,0,-296.105,0.187276,0.293272,0.0303183,0.0565891,0.353521
296.997,0.974647,0.152048,5,31,0,-295.526,0.216392,0.354189,0.0207616,0.0433531,0.354877
297.436,0.944952,0.152048,3,15,0,-294.368,0.205978,0.303669,0.0350372,0.0487699,0.342261
296.539,0.936637,0.152048,4,23,0,-295.811,0.256209,0.354014,-0.0259234,0.0430479,0.351409
296.375,0.998519,0.152048,4,31,0,-293.965,0.0954089,0.446433,0.0151909,0.0504285,0.33763
297.245,0.956805,0.152048,5,31,0,-295.68,0.287855,0.258517,-0.00823966,0.040283,0.357992
298.13,0.99463,0.152048,5,31,0,-296.651,0.2329,0.265824,0.0197546,0.0478241,0.350038
298.054,0.999216,0.152048,5,31,0,-296.752,0.154712,0.422966,-0.000669412,0.0485946,0.345873
